user_id,city,avg_spend,order_frequency,veg_ratio,budget_segment,preferred_cuisines,last_order_ts
31,Delhi,811.52,1.5,0.05,premium,Thai;North Indian;Healthy,2023-08-21T14:31:36Z
32,Mumbai,308.28,1.5,0.43,mid,Chinese,
33,Mumbai,219.25,1.5,0.98,budget,Healthy,2024-11-14T11:32:53Z
34,Jaipur,133.72,1.5,0.16,budget,Pizza,
35,Mumbai,216.4,1.5,0.24,budget,North Indian;Biryani,2023-10-14T07:14:56Z
36,Hyderabad,476.49,1.22,0.77,mid,Healthy;Pizza;North Indian,2023-08-31T14:23:01Z
37,Delhi,425.35,1.5,0.28,mid,North Indian,2023-03-05T14:22:57Z
38,Delhi,334.73,0.98,0.96,mid,Healthy;North Indian,2023-09-04T09:24:50Z
39,Mumbai,172.13,1.5,0.68,budget,Pizza;Healthy,2024-05-31T09:29:57Z
40,Mumbai,173.71,1.5,0.57,budget,Desserts;Chinese,
41,Pune,200.0,1.5,0.92,mid,Pizza;South Indian;Biryani,2023-04-11T05:36:49Z
42,Bangalore,163.76,1.5,0.49,budget,North Indian;Desserts;Pizza,2023-07-22T13:33:26Z
43,Delhi,1055.05,1.5,0.92,premium,Burger;Thai,
44,Mumbai,337.2,1.5,0.18,mid,Healthy;Chinese;North Indian,
45,Mumbai,347.73,1.5,0.83,mid,Biryani,2023-05-03T10:15:02Z
46,Ahmedabad,568.49,1.5,0.39,mid,Desserts;Chinese;Continental,2024-01-18T07:35:46Z
47,Mumbai,380.81,1.5,0.84,mid,North Indian;Biryani,2024-06-04T14:49:52Z
48,Mumbai,89.14,1.5,0.06,budget,Burger;Healthy,2024-02-26T12:10:58Z
49,Delhi,161.65,1.5,0.4,budget,Thai;Burger;South Indian,2024-11-29T15:23:08Z
50,Delhi,160.13,1.5,0.89,budget,South Indian;Desserts,
51,Kolkata,255.23,1.5,0.69,budget,Burger;Chinese;Healthy,
52,Delhi,500.0,1.5,0.5,premium,North Indian;Burger,2024-01-30T14:54:20Z
53,Hyderabad,422.87,1.5,0.57,mid,Desserts,
54,Bangalore,188.24,1.5,0.93,budget,North Indian;Chinese,2024-09-01T13:36:17Z
55,Delhi,214.01,1.5,0.97,budget,Biryani,2024-07-13T17:13:15Z
56,Kolkata,849.95,1.5,0.16,premium,Biryani;South Indian,2023-12-03T10:41:47Z
57,Surat,803.47,1.5,0.96,premium,North Indian,2024-04-13T09:11:02Z
58,Delhi,161.54,1.5,0.35,budget,Biryani,2024-03-19T13:20:37Z
59,Kolkata,195.35,1.5,0.05,budget,Biryani;Burger,2023-06-13T04:51:16Z
60,Ahmedabad,138.19,1.5,0.38,budget,Chinese;Healthy,
61,Delhi,359.65,1.5,0.87,mid,South Indian;Burger,2024-09-16T09:23:22Z
62,Bangalore,767.84,1.5,0.47,premium,Biryani,2024-11-13T20:03:28Z
63,Kolkata,396.42,1.5,0.03,mid,South Indian,2024-11-17T08:48:16Z
64,Surat,156.69,1.5,0.5,budget,Chinese;Desserts,
65,Pune,107.07,1.5,0.1,budget,Continental;South Indian,2024-08-28T20:24:12Z
66,Mumbai,411.57,1.5,0.82,mid,South Indian;Desserts,
67,Mumbai,194.76,1.5,0.36,budget,South Indian;North Indian;Biryani,
68,Bangalore,447.33,1.5,0.72,mid,Chinese;North Indian,2023-02-05T16:07:11Z
69,Delhi,366.72,1.5,0.15,mid,Continental;South Indian;North Indian,2024-04-22T15:06:37Z
70,Mumbai,476.19,1.5,0.18,mid,North Indian;Desserts,2023-05-20T13:41:25Z
71,Mumbai,415.57,1.5,0.13,mid,Continental;South Indian;Pizza,2024-06-22T19:33:39Z
72,Mumbai,734.18,1.5,0.28,premium,Burger;Desserts,
73,Delhi,182.54,1.5,0.16,budget,Thai;Burger;Continental,2024-04-24T08:06:38Z
74,Bangalore,326.05,1.09,0.96,mid,Desserts,2023-11-23T03:04:01Z
75,Mumbai,403.67,1.5,0.56,mid,North Indian,
76,Bangalore,344.11,1.21,0.13,mid,Healthy,2024-11-06T01:36:14Z
77,Bangalore,215.41,1.5,0.96,budget,Biryani;Chinese,2024-08-01T16:07:00Z
78,Jaipur,154.3,1.5,0.04,budget,South Indian;Healthy,
79,Mumbai,454.88,1.5,0.88,mid,Chinese;Biryani,2024-10-23T03:03:47Z
80,Mumbai,353.13,1.5,0.51,mid,South Indian,
81,Surat,382.01,1.5,0.15,mid,North Indian,2023-08-19T08:46:31Z
82,Delhi,131.74,1.5,0.38,budget,Chinese;South Indian;North Indian,2023-03-18T00:57:29Z
83,Mumbai,148.39,1.5,0.49,budget,Continental,
84,Mumbai,193.95,1.5,0.43,budget,Pizza,2024-04-24T17:10:09Z
85,Bangalore,196.12,1.5,0.78,budget,Healthy;Biryani,2023-01-14T14:47:52Z
86,Mumbai,210.35,1.5,0.92,budget,Healthy;Chinese,
87,Ahmedabad,200.0,1.5,0.48,mid,South Indian,2024-06-04T14:15:53Z
88,Mumbai,260.4,1.5,0.02,budget,Chinese;Burger,2023-01-27T12:07:47Z
89,Hyderabad,373.01,1.5,0.36,mid,Thai,2024-04-26T10:16:17Z
90,Ahmedabad,381.84,1.5,0.49,mid,North Indian;South Indian;Chinese,2023-08-07T17:26:24Z
91,Delhi,178.43,1.5,0.18,budget,North Indian;South Indian,
92,Mumbai,895.51,1.5,0.6,premium,Healthy,2023-10-16T14:54:33Z
93,Mumbai,185.24,1.5,0.49,budget,Chinese;South Indian,
94,Bangalore,193.34,1.5,0.33,budget,Thai,2024-04-21T16:47:43Z
95,Mumbai,269.09,1.5,0.78,mid,Healthy,
96,Mumbai,259.54,1.22,0.93,budget,South Indian;Pizza,2023-06-11T10:05:01Z
97,Mumbai,441.89,1.28,0.71,mid,Pizza;Biryani,
98,Kolkata,442.12,1.5,0.29,mid,Continental;Burger,2024-07-22T08:51:22Z
99,Mumbai,636.63,1.5,0.61,premium,Chinese,
100,Kolkata,840.87,1.5,0.3,premium,Burger;North Indian;South Indian,2024-07-15T06:30:28Z
101,Chennai,508.6,1.5,0.08,mid,Desserts;South Indian,2024-01-28T15:34:12Z
102,Mumbai,566.02,1.5,0.62,mid,South Indian,
103,Jaipur,157.13,1.5,0.51,budget,Chinese;North Indian,2024-07-12T14:11:50Z
104,Mumbai,136.82,1.5,0.05,budget,North Indian;Chinese;Burger,2024-12-14T06:43:24Z
105,Ahmedabad,176.63,1.5,0.97,budget,North Indian;Chinese;Continental,
106,Bangalore,721.99,1.5,0.91,premium,Chinese;Burger;Pizza,2024-03-13T16:12:45Z
107,Mumbai,145.18,1.5,0.55,budget,North Indian,2024-10-28T14:39:53Z
108,Lucknow,105.14,1.5,0.41,budget,Desserts;North Indian,
109,Bangalore,177.4,1.5,0.86,budget,North Indian;Thai,2024-12-15T13:31:27Z
110,Delhi,382.63,1.5,0.65,mid,North Indian;Biryani,
111,Lucknow,206.15,1.5,0.96,budget,Biryani,
112,Kolkata,523.7,1.5,0.72,premium,North Indian;South Indian;Biryani,
113,Pune,189.36,1.5,0.8,budget,North Indian;Healthy,
114,Surat,275.04,1.06,0.38,mid,Continental;North Indian;Thai,
115,Mumbai,175.34,1.5,0.94,budget,North Indian;Biryani;Burger,2024-07-16T06:18:23Z
116,Mumbai,384.91,1.5,0.99,mid,Pizza;North Indian,2024-09-08T14:05:38Z
117,Ahmedabad,172.5,1.5,0.06,budget,Biryani;Continental;Desserts,
118,Bangalore,159.57,1.5,0.41,budget,Burger;Biryani;North Indian,
119,Hyderabad,206.04,1.5,0.42,budget,South Indian;Biryani;Chinese,
120,Mumbai,667.43,1.5,0.22,premium,Pizza,2024-07-02T17:44:30Z
121,Mumbai,403.56,1.5,0.83,mid,Pizza;Burger,2023-12-18T16:16:24Z
122,Kolkata,217.86,1.5,0.05,budget,Thai,2024-09-22T05:32:17Z
123,Hyderabad,147.28,1.5,0.33,budget,Desserts;Burger;North Indian,
124,Kolkata,297.69,1.5,0.87,mid,Pizza;North Indian;Healthy,2024-01-04T16:06:51Z
125,Hyderabad,528.84,1.5,0.32,premium,Pizza;Thai,2024-06-05T18:08:43Z
126,Surat,176.2,1.5,0.2,budget,North Indian,2024-08-20T05:51:29Z
127,Bangalore,323.2,1.5,0.88,mid,Biryani;North Indian,2023-02-10T11:02:01Z
128,Mumbai,171.22,1.5,0.67,budget,Biryani;Healthy;North Indian,2024-10-10T11:15:35Z
129,Mumbai,300.59,1.5,0.88,mid,Biryani;Thai;North Indian,
130,Mumbai,500.0,1.5,0.11,premium,South Indian;North Indian,2023-07-11T04:29:51Z
131,Lucknow,181.12,1.29,0.44,budget,North Indian;Burger,
132,Delhi,376.2,1.5,0.5,mid,Pizza,2023-09-03T09:35:15Z
133,Bangalore,376.77,1.23,0.92,mid,Healthy;Biryani,
134,Mumbai,145.47,1.5,0.15,budget,Continental;North Indian,
135,Mumbai,290.93,1.5,0.16,mid,South Indian;Thai;Healthy,2023-01-21T07:43:35Z
136,Hyderabad,186.18,1.5,0.12,budget,Biryani,2024-05-17T13:16:56Z
137,Kochi,365.11,1.46,0.29,mid,Continental;Chinese,2023-12-12T15:15:14Z
138,Mumbai,180.9,1.5,0.36,budget,Desserts;Burger;North Indian,
139,Mumbai,1495.06,1.1,0.7,premium,Biryani;Thai,2024-01-11T07:41:34Z
140,Mumbai,166.43,1.5,0.55,budget,South Indian,2023-06-03T02:13:53Z
141,Jaipur,532.02,1.5,0.19,mid,Desserts;Thai,
142,Delhi,410.95,1.5,0.57,mid,Desserts;North Indian,2024-06-29T19:07:19Z
143,Delhi,252.48,1.5,0.43,mid,Pizza;Desserts,2024-07-14T16:24:30Z
144,Mumbai,91.56,1.5,0.99,budget,Biryani;Pizza;Healthy,2024-01-08T08:15:35Z
145,Bangalore,587.0,1.5,0.54,premium,Biryani,2024-03-03T11:16:46Z
146,Lucknow,271.02,1.5,0.11,mid,Continental;North Indian,
147,Pune,371.58,1.5,0.61,mid,Continental;North Indian;Chinese,
148,Mumbai,163.45,1.5,0.77,budget,Thai;Chinese;North Indian,2023-09-18T13:59:21Z
149,Mumbai,224.41,1.5,0.32,budget,Biryani,2023-05-08T15:50:00Z
150,Mumbai,401.6,1.2,0.43,mid,Chinese,
151,Chennai,839.3,1.5,0.73,premium,Chinese;North Indian;Continental,2024-02-20T14:10:48Z
152,Mumbai,341.11,1.5,0.68,mid,Healthy,2023-11-04T05:56:12Z
153,Delhi,498.86,1.5,0.84,mid,Biryani;Healthy,2024-04-20T13:47:19Z
154,Delhi,411.12,1.19,0.04,mid,Biryani;Continental;South Indian,2024-01-05T09:36:42Z
155,Mumbai,204.0,1.5,0.56,budget,Pizza;Chinese,
156,Mumbai,660.09,1.5,0.28,premium,Chinese;Healthy;Thai,
157,Bangalore,153.12,1.1,0.26,budget,Continental;Biryani,
158,Bangalore,394.57,0.97,0.78,mid,Healthy;Pizza,2024-02-15T17:49:30Z
159,Delhi,482.0,1.5,0.25,mid,South Indian;Pizza,
160,Hyderabad,234.22,1.5,0.7,mid,Healthy;South Indian;North Indian,2023-03-06T19:02:03Z
161,Mumbai,194.96,1.5,0.11,budget,Biryani;Desserts;Burger,
162,Mumbai,311.22,1.5,0.89,mid,Thai;Continental;South Indian,
163,Lucknow,914.38,1.5,0.77,premium,Continental,
164,Mumbai,663.57,1.5,0.48,premium,Desserts,2024-01-04T01:41:11Z
165,Pune,375.43,1.5,0.65,mid,Healthy,2024-06-06T19:03:03Z
166,Kolkata,327.02,1.5,0.27,mid,South Indian;Chinese,2024-09-07T06:23:36Z
167,Ahmedabad,211.34,1.5,0.44,budget,Thai;North Indian;Burger,2023-01-25T15:10:55Z
168,Mumbai,833.99,1.5,0.1,premium,Biryani;Pizza;North Indian,2024-08-22T08:59:56Z
169,Surat,890.22,1.5,0.73,premium,South Indian,2024-11-13T07:15:27Z
170,Lucknow,210.74,0.92,0.47,budget,Biryani;Healthy,2024-06-16T16:19:57Z
171,Mumbai,376.11,1.5,0.9,mid,Thai,2024-09-30T13:23:13Z
172,Mumbai,202.14,1.5,0.87,budget,North Indian;Burger,
173,Delhi,473.0,1.5,0.51,mid,Chinese;Healthy;North Indian,2024-08-31T10:29:58Z
174,Kochi,137.58,1.5,0.62,budget,Biryani;Healthy,2024-11-12T14:48:37Z
175,Mumbai,346.35,1.5,0.68,mid,Continental,2024-07-12T16:43:12Z
176,Hyderabad,426.04,1.5,0.14,mid,Chinese;Healthy;South Indian,2024-10-16T18:04:48Z
177,Delhi,182.21,1.5,0.78,budget,Desserts;Biryani,
178,Kolkata,203.46,1.5,0.84,budget,South Indian;Burger;Pizza,2024-05-20T16:58:53Z
179,Mumbai,409.87,1.5,0.9,mid,North Indian;Continental,2023-07-28T16:06:08Z
180,Bangalore,500.0,1.5,0.4,premium,North Indian;Continental;Healthy,
181,Bangalore,1100.96,1.5,0.92,premium,North Indian,2023-11-20T12:53:54Z
182,Ahmedabad,905.71,1.5,0.42,premium,Pizza,2023-09-14T13:36:32Z
183,Delhi,652.46,1.5,0.14,premium,Pizza;Burger,2024-07-24T13:44:26Z
184,Mumbai,469.03,1.5,0.27,mid,South Indian,
185,Pune,511.95,1.5,0.31,mid,Pizza;Desserts,
186,Mumbai,202.22,1.5,0.93,budget,North Indian;Burger;Healthy,2024-12-13T07:49:14Z
187,Chennai,450.85,1.5,0.32,mid,South Indian;Chinese,
188,Chennai,462.32,1.5,0.18,mid,North Indian;Chinese,
189,Hyderabad,205.95,1.5,0.23,budget,Continental;Pizza,
190,Surat,224.74,1.5,0.59,budget,Chinese;Pizza,2023-04-01T09:27:52Z
191,Mumbai,265.0,1.5,0.2,mid,Biryani;Continental,2023-10-10T16:34:23Z
192,Mumbai,1088.23,1.5,0.94,premium,Burger,
193,Delhi,735.48,1.5,0.36,premium,Biryani;South Indian,
194,Kochi,162.42,1.5,0.29,budget,Burger;North Indian,2024-02-05T06:41:13Z
195,Delhi,322.52,1.25,0.19,mid,South Indian;Burger;Biryani,2023-04-06T14:20:22Z
196,Mumbai,195.7,1.5,0.2,budget,Chinese;North Indian,2024-07-30T04:57:03Z
197,Jaipur,255.38,1.5,0.54,mid,Thai;Desserts,2024-03-23T16:35:57Z
198,Mumbai,98.51,1.5,1.0,budget,North Indian;Thai,2024-09-11T15:03:41Z
199,Mumbai,1065.77,1.18,0.76,premium,South Indian,
200,Mumbai,190.67,1.4,0.14,budget,Burger;North Indian,
201,Mumbai,200.02,1.5,0.52,budget,Desserts;Continental,2023-04-23T12:15:44Z
202,Delhi,712.16,1.5,0.89,premium,Continental,2024-06-05T09:45:38Z
203,Hyderabad,291.46,1.5,0.07,mid,Healthy;Chinese,
204,Hyderabad,441.94,1.5,0.21,mid,North Indian,2023-02-26T07:06:09Z
205,Pune,247.42,1.5,0.14,budget,South Indian;North Indian,2023-06-16T05:18:50Z
206,Jaipur,195.91,1.5,0.3,budget,Biryani;Desserts;North Indian,2023-05-11T08:24:43Z
207,Delhi,199.86,1.5,0.33,budget,Chinese;Desserts;Pizza,2023-04-28T09:33:58Z
208,Delhi,148.04,1.5,0.0,budget,Pizza;Burger,2024-10-01T10:28:09Z
209,Hyderabad,223.57,1.5,0.65,budget,Chinese,2024-12-03T17:10:22Z
210,Kochi,231.83,1.5,0.8,budget,North Indian;Continental;Chinese,2023-06-10T13:45:57Z
211,Mumbai,402.92,1.5,0.86,mid,Thai;North Indian;Biryani,2023-07-17T10:22:44Z
212,Mumbai,346.16,1.5,0.85,mid,North Indian;Chinese;Burger,2023-12-04T02:50:06Z
213,Mumbai,494.73,1.5,0.52,mid,South Indian;Pizza,2024-01-15T17:19:39Z
214,Delhi,523.85,1.5,0.11,premium,Continental;Biryani,2024-07-21T04:07:36Z
215,Lucknow,207.43,1.5,0.8,budget,Healthy;North Indian;Pizza,2024-02-01T04:48:44Z
216,Kolkata,376.79,1.5,0.68,mid,South Indian,2023-10-08T16:16:48Z
217,Mumbai,423.14,1.5,0.23,mid,South Indian;North Indian,2023-01-20T14:12:28Z
218,Kochi,443.26,1.5,0.02,mid,Thai;Continental;Desserts,2024-12-02T10:04:39Z
219,Mumbai,785.65,1.5,0.72,premium,Pizza;Burger;Desserts,2023-12-10T10:08:47Z
220,Delhi,158.46,1.5,0.74,budget,Healthy;North Indian,2023-03-08T17:03:15Z
221,Bangalore,204.17,1.5,0.57,mid,Burger;South Indian,2024-12-12T20:40:00Z
222,Hyderabad,144.0,1.5,0.73,budget,Pizza;Biryani,2024-01-23T08:43:56Z
223,Delhi,359.24,1.5,0.44,mid,North Indian;Chinese;Pizza,
224,Kochi,287.06,1.5,0.98,mid,Thai,2024-12-22T12:37:22Z
225,Mumbai,183.99,1.5,0.67,budget,Chinese;Biryani,2024-04-27T13:40:12Z
226,Delhi,292.08,1.5,0.57,mid,Healthy;Biryani,2024-11-16T06:25:41Z
227,Surat,467.01,1.5,0.74,mid,Desserts,
228,Mumbai,466.63,1.26,0.19,mid,Healthy,2023-07-02T09:05:06Z
229,Kochi,232.6,1.5,0.65,mid,South Indian,2024-08-10T09:35:05Z
230,Mumbai,394.54,1.5,0.17,mid,Chinese;South Indian;North Indian,
231,Bangalore,224.05,1.5,0.72,budget,Burger,2024-04-29T09:20:07Z
232,Delhi,642.53,1.5,0.5,premium,Biryani;North Indian,
233,Bangalore,149.82,1.5,0.93,budget,Chinese;North Indian,2024-02-14T16:56:00Z
234,Mumbai,448.61,1.5,0.14,mid,Biryani;North Indian;South Indian,2024-10-25T17:43:29Z
235,Mumbai,282.86,1.5,0.04,mid,Pizza;South Indian;Healthy,2023-09-05T16:47:33Z
236,Bangalore,235.25,1.5,0.9,budget,Healthy;Chinese;Burger,
237,Delhi,660.61,0.5,0.05,premium,South Indian,2023-02-19T16:56:35Z
238,Delhi,1028.57,1.5,0.32,premium,Chinese;Desserts,2024-11-27T12:15:18Z
239,Hyderabad,164.42,1.5,0.88,budget,Chinese;Pizza,
240,Mumbai,180.18,1.5,0.92,budget,Desserts;South Indian;North Indian,2024-10-31T11:10:35Z
241,Jaipur,164.45,1.5,0.9,budget,Pizza;Burger,2023-10-30T06:43:53Z
242,Lucknow,203.41,1.5,0.87,budget,Continental;North Indian;Biryani,2023-07-30T16:15:18Z
243,Mumbai,474.26,1.5,0.16,mid,Chinese,2023-12-27T09:21:07Z
244,Hyderabad,473.66,1.5,0.57,mid,North Indian,2023-11-13T06:29:11Z
245,Hyderabad,396.06,1.5,1.0,mid,Chinese;North Indian;South Indian,2024-06-01T14:28:34Z
246,Hyderabad,474.16,1.5,0.08,mid,Biryani,2024-07-16T14:48:24Z
247,Bangalore,241.96,1.5,0.18,budget,Continental,2024-02-02T06:39:33Z
248,Pune,931.55,1.5,0.54,premium,South Indian;North Indian,
249,Delhi,190.65,1.5,0.51,budget,Healthy;North Indian;South Indian,2023-11-05T01:21:26Z
250,Chennai,431.51,1.5,0.93,mid,Desserts;North Indian;Pizza,2024-05-20T16:29:00Z
251,Mumbai,406.47,1.5,0.6,mid,Healthy;Chinese,
252,Mumbai,1110.8,1.5,0.77,premium,Biryani;South Indian;Desserts,
253,Kolkata,421.79,1.5,0.85,mid,Pizza;North Indian;Chinese,
254,Mumbai,361.19,1.5,0.86,mid,North Indian;Chinese;Pizza,
255,Delhi,168.66,1.5,0.94,budget,North Indian;Biryani;South Indian,2024-04-05T04:12:59Z
256,Kolkata,269.09,1.5,0.54,mid,North Indian;Pizza,
257,Delhi,165.61,1.5,0.3,budget,North Indian;Chinese,
258,Delhi,338.1,1.5,0.63,mid,South Indian,
259,Mumbai,169.08,1.5,0.56,budget,Chinese,
260,Chennai,251.04,1.5,0.88,budget,Burger;Pizza;North Indian,2023-01-27T15:21:29Z
261,Delhi,716.53,1.5,0.97,premium,North Indian,
262,Mumbai,879.91,1.5,0.56,premium,South Indian;North Indian,2023-11-01T02:48:00Z
263,Lucknow,767.69,1.5,0.43,premium,South Indian;Biryani,2023-11-16T13:44:48Z
264,Chennai,238.2,1.5,0.41,budget,South Indian;Healthy,
265,Pune,183.8,1.5,0.96,budget,Burger;North Indian,2024-06-01T11:19:38Z
266,Delhi,1031.78,1.5,0.95,premium,Chinese;Burger,2023-01-01T12:59:00Z
267,Chennai,365.22,1.5,0.48,mid,Chinese;Thai;Pizza,2023-12-09T14:58:41Z
268,Kochi,182.94,0.5,0.85,budget,Continental,2023-05-08T16:04:43Z
269,Mumbai,834.29,1.5,0.87,premium,Continental;Pizza;North Indian,
270,Mumbai,342.64,1.5,0.87,mid,Biryani;South Indian,2024-12-30T09:16:08Z
271,Delhi,168.99,1.5,0.51,budget,North Indian;South Indian,
272,Surat,305.89,1.5,0.27,mid,North Indian;Healthy,2024-06-13T10:18:34Z
273,Mumbai,1004.05,1.5,0.87,premium,North Indian;Desserts,
274,Bangalore,297.78,1.5,0.81,mid,Continental;Chinese;Burger,2024-01-09T13:54:32Z
275,Hyderabad,180.33,1.5,0.84,budget,Thai,2023-08-22T05:52:50Z
276,Mumbai,330.36,1.5,0.02,mid,Healthy,2024-07-24T15:06:21Z
277,Chennai,342.7,1.5,0.54,mid,Biryani;Thai,
278,Mumbai,196.18,1.5,0.5,budget,North Indian,
279,Chennai,534.65,1.5,0.45,mid,Chinese,2024-07-15T17:28:42Z
280,Mumbai,491.13,1.5,0.89,mid,Chinese;Desserts,
281,Mumbai,983.8,1.5,0.67,premium,Thai,2024-06-01T01:37:53Z
282,Mumbai,996.41,1.5,0.4,premium,South Indian;Burger,
283,Kolkata,186.62,1.5,0.99,budget,Thai;Biryani,
284,Mumbai,459.9,1.5,0.03,mid,North Indian;Biryani,2024-04-27T16:39:04Z
285,Lucknow,407.62,1.5,0.8,mid,Healthy;South Indian,2023-09-12T15:29:42Z
286,Bangalore,813.08,1.5,0.19,premium,Biryani;Burger,2024-02-19T01:16:06Z
287,Mumbai,296.9,1.5,0.11,mid,Biryani;Chinese;South Indian,
288,Delhi,191.85,1.5,0.26,budget,Chinese;South Indian,
289,Mumbai,331.09,1.5,0.34,mid,Desserts;North Indian,
290,Delhi,174.12,1.5,0.27,budget,Desserts;Biryani,2024-07-13T14:08:16Z
291,Mumbai,207.0,1.5,0.34,budget,North Indian;Chinese;Pizza,2024-06-17T13:58:35Z
292,Mumbai,380.45,1.5,0.58,mid,Biryani;North Indian,2024-01-21T09:39:35Z
293,Pune,134.36,1.5,0.15,budget,Thai;North Indian,2024-12-26T02:07:58Z
294,Chennai,402.83,1.5,0.86,mid,Thai,
295,Mumbai,168.94,1.5,0.26,budget,Chinese;South Indian;Pizza,2024-06-19T17:22:06Z
296,Hyderabad,98.29,1.5,0.91,budget,Chinese;North Indian,2024-08-28T14:41:45Z
297,Hyderabad,176.96,1.5,0.81,budget,Thai;Burger;Chinese,2024-01-09T04:48:25Z
298,Chennai,139.37,1.5,0.76,budget,South Indian;Healthy,2023-06-23T06:56:27Z
299,Bangalore,418.84,1.5,0.59,mid,Continental;South Indian,2024-11-08T07:38:06Z
300,Mumbai,413.83,1.5,0.8,mid,Continental,2023-11-25T08:07:44Z
301,Delhi,484.72,1.5,0.57,mid,Desserts;North Indian,2023-11-25T16:01:00Z
302,Bangalore,500.0,1.5,0.12,premium,North Indian;South Indian;Chinese,2024-06-29T06:10:12Z
303,Chennai,903.56,1.5,0.22,premium,Healthy;Pizza;Continental,2023-10-04T15:50:18Z
304,Hyderabad,238.95,1.5,0.58,mid,Biryani;Chinese;Pizza,
305,Kolkata,220.61,1.5,0.08,budget,South Indian,2024-06-09T07:30:57Z
306,Bangalore,885.05,1.5,0.72,premium,South Indian;Desserts,2024-01-06T11:58:31Z
307,Pune,1007.76,1.5,0.9,premium,Burger;Chinese;North Indian,
308,Chennai,209.36,1.5,0.13,mid,Healthy;North Indian,2024-07-07T06:45:41Z
309,Surat,740.79,1.5,0.5,premium,Continental,
310,Lucknow,266.0,0.89,0.92,mid,Continental;Healthy,2024-04-17T01:14:31Z
311,Bangalore,162.05,1.5,0.63,budget,South Indian,
312,Kolkata,885.29,1.5,0.33,premium,Burger,2024-07-27T05:52:34Z
313,Kolkata,180.46,1.5,0.54,budget,Burger;North Indian;Biryani,
314,Mumbai,500.0,1.5,0.95,premium,Biryani;Desserts;North Indian,2024-12-21T12:31:39Z
315,Delhi,344.05,1.38,0.56,mid,Pizza;Biryani,2024-08-23T06:42:32Z
316,Mumbai,130.13,1.5,0.5,budget,Desserts;Pizza,2024-11-04T20:06:13Z
317,Mumbai,202.18,1.5,0.21,budget,Biryani,2023-08-31T06:36:30Z
318,Bangalore,337.67,1.5,0.77,mid,Pizza;Thai,2023-04-24T01:20:57Z
319,Delhi,379.38,1.5,0.13,mid,Thai;North Indian;Pizza,2023-11-05T05:47:13Z
320,Delhi,352.29,1.5,0.53,mid,Burger,
321,Ahmedabad,455.32,1.5,0.32,mid,Healthy;North Indian,
322,Chennai,180.53,0.95,0.33,budget,North Indian;South Indian;Pizza,
323,Bangalore,312.08,1.5,0.01,mid,North Indian;Chinese,2024-05-09T17:20:42Z
324,Mumbai,1016.66,1.5,0.94,premium,Pizza,
325,Bangalore,227.28,1.5,0.81,budget,North Indian;Burger;Continental,2024-03-04T13:58:30Z
326,Mumbai,322.78,1.5,0.53,mid,North Indian;Continental;South Indian,
