item_id,restaurant_id,name,category,price,is_veg,popularity_score,image_url
28,6,Avocado Toast,starter,159,1,15.87,https://images.unsplash.com/photo-1588137378633-dea1336ce1e2?w=300&q=80
29,6,Green Detox Juice,drink,169,1,46.53,https://images.unsplash.com/photo-1622483767028-3f66f32aef97?w=300&q=80
30,7,Masala Dosa,main,170,1,88.7,https://images.unsplash.com/photo-1589301760014-d929f39ce9b0?w=300&q=80
31,7,Idli Sambar,starter,80,1,99.24,https://images.unsplash.com/photo-1610192244261-3f3388cd26f3?w=300&q=80
32,7,Medu Vada,starter,60,1,69.7,https://images.unsplash.com/photo-1626804475297-4160fab1ccfa?w=300&q=80
33,7,Filter Coffee,drink,20,1,81.68,https://images.unsplash.com/photo-1521302200778-33500795e128?w=300&q=80
34,8,Chicken Dum Biryani,main,259,0,46.51,https://images.unsplash.com/photo-1563379091339-03b21ab4a4f8?w=300&q=80
35,8,Mutton Zafrani Biryani,main,449,0,35.27,https://images.unsplash.com/photo-1631515243349-e0cb75fb8d3a?w=300&q=80
36,8,Paneer Special Biryani,main,259,1,52.55,https://images.unsplash.com/photo-1505253758473-96b7015fcd40?w=300&q=80
37,8,Chicken Tikka Kebab,starter,200,0,60.68,https://images.unsplash.com/photo-1606491956689-2ea866880c84?w=300&q=80
38,8,Mirchi Ka Salan,side,150,1,34.77,https://images.unsplash.com/photo-1589302168068-964664d93cb0?w=300&q=80
39,8,Boondi Raita,side,95,1,96.55,https://images.unsplash.com/photo-1546833999-b9f581a1996d?w=300&q=80
40,8,Onion Cucumber Raita,side,40,1,89.1,https://images.unsplash.com/photo-1546833999-b9f581a1996d?w=300&q=80
41,8,Coke 330ml,drink,20,1,12.08,https://images.unsplash.com/photo-1622483767028-3f66f32aef97?w=300&q=80
42,8,Diet Coke Can,drink,125,1,49.76,https://images.unsplash.com/photo-1622483767028-3f66f32aef97?w=300&q=80
43,9,Classic Cheese Burger,main,179,1,53.23,https://images.unsplash.com/photo-1568901346375-23c9450c58cd?w=300&q=80
44,9,Crispy Chicken Burger,main,249,0,48.06,https://images.unsplash.com/photo-1594212686125-9f5cefb6a827?w=300&q=80
45,9,Double Patty Overload,main,319,0,32.39,https://images.unsplash.com/photo-1586816001966-79b736744398?w=300&q=80
46,9,French Fries,side,99,1,40.87,https://images.unsplash.com/photo-1576107232684-1279f3908581?w=300&q=80
47,9,Chocolate Thickshake,drink,200,1,48.06,https://images.unsplash.com/photo-1572490122747-3968b75cc699?w=300&q=80
48,10,Pani Puri,starter,110,1,93.69,https://images.unsplash.com/photo-1606491956689-2ea866880c84?w=300&q=80
49,10,Pav Bhaji,main,170,1,49.99,https://images.unsplash.com/photo-1589301760014-d929f39ce9b0?w=300&q=80
50,10,Vada Pav,starter,90,1,27.96,https://images.unsplash.com/photo-1626804475297-4160fab1ccfa?w=300&q=80
51,10,Masala Chai,drink,20,1,68.18,https://images.unsplash.com/photo-1544026229-2ceec1a86827?w=300&q=80
52,11,Chicken Dum Biryani,main,319,0,15.94,https://images.unsplash.com/photo-1563379091339-03b21ab4a4f8?w=300&q=80
53,11,Mutton Zafrani Biryani,main,389,0,30.26,https://images.unsplash.com/photo-1631515243349-e0cb75fb8d3a?w=300&q=80
54,11,Paneer Special Biryani,main,229,1,76.83,https://images.unsplash.com/photo-1505253758473-96b7015fcd40?w=300&q=80
55,11,Chicken Tikka Kebab,starter,220,0,79.75,https://images.unsplash.com/photo-1606491956689-2ea866880c84?w=300&q=80
56,11,Mirchi Ka Salan,side,90,1,89.82,https://images.unsplash.com/photo-1589302168068-964664d93cb0?w=300&q=80
57,11,Boondi Raita,side,45,1,50.17,https://images.unsplash.com/photo-1546833999-b9f581a1996d?w=300&q=80
58,11,Onion Cucumber Raita,side,60,1,40.92,https://images.unsplash.com/photo-1546833999-b9f581a1996d?w=300&q=80
59,11,Coke 330ml,drink,50,1,87.02,https://images.unsplash.com/photo-1622483767028-3f66f32aef97?w=300&q=80
60,11,Diet Coke Can,drink,45,1,97.63,https://images.unsplash.com/photo-1622483767028-3f66f32aef97?w=300&q=80
61,12,Quinoa Salad bowl,main,220,1,14.03,https://images.unsplash.com/photo-1512621776951-a57141f2eefd?w=300&q=80
62,12,Grilled Chicken Breast,main,319,0,69.75,https://images.unsplash.com/photo-1626082927389-6cd097cdc6ec?w=300&q=80
63,12,Avocado Toast,starter,179,1,16.55,https://images.unsplash.com/photo-1588137378633-dea1336ce1e2?w=300&q=80
64,12,Green Detox Juice,drink,189,1,35.71,https://images.unsplash.com/photo-1622483767028-3f66f32aef97?w=300&q=80
65,13,Quinoa Salad bowl,main,250,1,98.92,https://images.unsplash.com/photo-1512621776951-a57141f2eefd?w=300&q=80
66,13,Grilled Chicken Breast,main,289,0,58.42,https://images.unsplash.com/photo-1626082927389-6cd097cdc6ec?w=300&q=80
67,13,Avocado Toast,starter,229,1,32.03,https://images.unsplash.com/photo-1588137378633-dea1336ce1e2?w=300&q=80
68,13,Green Detox Juice,drink,179,1,84.01,https://images.unsplash.com/photo-1622483767028-3f66f32aef97?w=300&q=80
69,14,Classic Cheese Burger,main,109,1,33.63,https://images.unsplash.com/photo-1568901346375-23c9450c58cd?w=300&q=80
70,14,Crispy Chicken Burger,main,239,0,53.53,https://images.unsplash.com/photo-1594212686125-9f5cefb6a827?w=300&q=80
71,14,Double Patty Overload,main,279,0,63.42,https://images.unsplash.com/photo-1586816001966-79b736744398?w=300&q=80
72,14,French Fries,side,89,1,89.13,https://images.unsplash.com/photo-1576107232684-1279f3908581?w=300&q=80
73,14,Chocolate Thickshake,drink,170,1,92.5,https://images.unsplash.com/photo-1572490122747-3968b75cc699?w=300&q=80
74,15,Classic Cheese Burger,main,139,1,26.4,https://images.unsplash.com/photo-1568901346375-23c9450c58cd?w=300&q=80
75,15,Crispy Chicken Burger,main,169,0,54.35,https://images.unsplash.com/photo-1594212686125-9f5cefb6a827?w=300&q=80
76,15,Double Patty Overload,main,259,0,16.69,https://images.unsplash.com/photo-1586816001966-79b736744398?w=300&q=80
77,15,French Fries,side,89,1,82.61,https://images.unsplash.com/photo-1576107232684-1279f3908581?w=300&q=80
78,15,Chocolate Thickshake,drink,150,1,14.61,https://images.unsplash.com/photo-1572490122747-3968b75cc699?w=300&q=80
79,16,Masala Dosa,main,120,1,99.8,https://images.unsplash.com/photo-1589301760014-d929f39ce9b0?w=300&q=80
80,16,Idli Sambar,starter,60,1,51.28,https://images.unsplash.com/photo-1610192244261-3f3388cd26f3?w=300&q=80
81,16,Medu Vada,starter,110,1,86.96,https://images.unsplash.com/photo-1626804475297-4160fab1ccfa?w=300&q=80
82,16,Filter Coffee,drink,50,1,56.49,https://images.unsplash.com/photo-1521302200778-33500795e128?w=300&q=80
83,17,Chicken Dum Biryani,main,299,0,94.61,https://images.unsplash.com/photo-1563379091339-03b21ab4a4f8?w=300&q=80
84,17,Mutton Zafrani Biryani,main,419,0,52.71,https://images.unsplash.com/photo-1631515243349-e0cb75fb8d3a?w=300&q=80
85,17,Paneer Special Biryani,main,279,1,97.21,https://images.unsplash.com/photo-1505253758473-96b7015fcd40?w=300&q=80
86,17,Chicken Tikka Kebab,starter,230,0,94.71,https://images.unsplash.com/photo-1606491956689-2ea866880c84?w=300&q=80
87,17,Mirchi Ka Salan,side,90,1,57.16,https://images.unsplash.com/photo-1589302168068-964664d93cb0?w=300&q=80
88,17,Boondi Raita,side,85,1,71.49,https://images.unsplash.com/photo-1546833999-b9f581a1996d?w=300&q=80
89,17,Onion Cucumber Raita,side,110,1,19.0,https://images.unsplash.com/photo-1546833999-b9f581a1996d?w=300&q=80
90,17,Coke 330ml,drink,60,1,18.4,https://images.unsplash.com/photo-1622483767028-3f66f32aef97?w=300&q=80
91,17,Diet Coke Can,drink,135,1,11.28,https://images.unsplash.com/photo-1622483767028-3f66f32aef97?w=300&q=80
92,18,Quinoa Salad bowl,main,270,1,89.14,https://images.unsplash.com/photo-1512621776951-a57141f2eefd?w=300&q=80
93,18,Grilled Chicken Breast,main,329,0,38.28,https://images.unsplash.com/photo-1626082927389-6cd097cdc6ec?w=300&q=80
94,18,Avocado Toast,starter,239,1,29.19,https://images.unsplash.com/photo-1588137378633-dea1336ce1e2?w=300&q=80
95,18,Green Detox Juice,drink,159,1,11.62,https://images.unsplash.com/photo-1622483767028-3f66f32aef97?w=300&q=80
96,19,Quinoa Salad bowl,main,210,1,82.26,https://images.unsplash.com/photo-1512621776951-a57141f2eefd?w=300&q=80
97,19,Grilled Chicken Breast,main,339,0,86.12,https://images.unsplash.com/photo-1626082927389-6cd097cdc6ec?w=300&q=80
98,19,Avocado Toast,starter,159,1,33.53,https://images.unsplash.com/photo-1588137378633-dea1336ce1e2?w=300&q=80
99,19,Green Detox Juice,drink,149,1,91.01,https://images.unsplash.com/photo-1622483767028-3f66f32aef97?w=300&q=80
100,20,Kosha Mangsho,main,510,0,35.71,https://images.unsplash.com/photo-1604908176997-125f25cc6f3d?w=300&q=80
101,20,Fish Curry,main,410,0,81.82,https://images.unsplash.com/photo-1596797038530-2c107229654b?w=300&q=80
102,20,Luchi,side,80,1,93.3,https://images.unsplash.com/photo-1589301760014-d929f39ce9b0?w=300&q=80
103,20,Rosogolla,dessert,90,1,39.96,https://images.unsplash.com/photo-1551024601-bec78aea704b?w=300&q=80
104,21,Quinoa Salad bowl,main,210,1,64.65,https://images.unsplash.com/photo-1512621776951-a57141f2eefd?w=300&q=80
105,21,Grilled Chicken Breast,main,289,0,25.26,https://images.unsplash.com/photo-1626082927389-6cd097cdc6ec?w=300&q=80
106,21,Avocado Toast,starter,199,1,50.22,https://images.unsplash.com/photo-1588137378633-dea1336ce1e2?w=300&q=80
107,21,Green Detox Juice,drink,139,1,51.21,https://images.unsplash.com/photo-1622483767028-3f66f32aef97?w=300&q=80
108,22,Quinoa Salad bowl,main,290,1,72.84,https://images.unsplash.com/photo-1512621776951-a57141f2eefd?w=300&q=80
109,22,Grilled Chicken Breast,main,349,0,92.46,https://images.unsplash.com/photo-1626082927389-6cd097cdc6ec?w=300&q=80
110,22,Avocado Toast,starter,239,1,72.83,https://images.unsplash.com/photo-1588137378633-dea1336ce1e2?w=300&q=80
111,22,Green Detox Juice,drink,189,1,31.3,https://images.unsplash.com/photo-1622483767028-3f66f32aef97?w=300&q=80
112,23,Chicken Dum Biryani,main,269,0,31.54,https://images.unsplash.com/photo-1563379091339-03b21ab4a4f8?w=300&q=80
113,23,Mutton Zafrani Biryani,main,429,0,43.43,https://images.unsplash.com/photo-1631515243349-e0cb75fb8d3a?w=300&q=80
114,23,Paneer Special Biryani,main,239,1,92.88,https://images.unsplash.com/photo-1505253758473-96b7015fcd40?w=300&q=80
115,23,Chicken Tikka Kebab,starter,260,0,24.0,https://images.unsplash.com/photo-1606491956689-2ea866880c84?w=300&q=80
116,23,Mirchi Ka Salan,side,130,1,58.57,https://images.unsplash.com/photo-1589302168068-964664d93cb0?w=300&q=80
117,23,Boondi Raita,side,45,1,94.31,https://images.unsplash.com/photo-1546833999-b9f581a1996d?w=300&q=80
118,23,Onion Cucumber Raita,side,80,1,14.57,https://images.unsplash.com/photo-1546833999-b9f581a1996d?w=300&q=80
119,23,Coke 330ml,drink,80,1,88.07,https://images.unsplash.com/photo-1622483767028-3f66f32aef97?w=300&q=80
120,23,Diet Coke Can,drink,95,1,59.89,https://images.unsplash.com/photo-1622483767028-3f66f32aef97?w=300&q=80
121,24,Dal Baati Churma,main,410,1,57.29,https://images.unsplash.com/photo-1544026229-2ceec1a86827?w=300&q=80
122,24,Laal Maas,main,410,0,48.49,https://images.unsplash.com/photo-1604908176997-125f25cc6f3d?w=300&q=80
123,24,Gatte Ki Sabzi,side,260,1,31.26,https://images.unsplash.com/photo-1589302168068-964664d93cb0?w=300&q=80
124,24,Jaljeera,drink,60,1,76.89,https://images.unsplash.com/photo-1622483767028-3f66f32aef97?w=300&q=80
125,25,Classic Cheese Burger,main,199,1,46.09,https://images.unsplash.com/photo-1568901346375-23c9450c58cd?w=300&q=80
126,25,Crispy Chicken Burger,main,209,0,84.82,https://images.unsplash.com/photo-1594212686125-9f5cefb6a827?w=300&q=80
127,25,Double Patty Overload,main,249,0,95.06,https://images.unsplash.com/photo-1586816001966-79b736744398?w=300&q=80
128,25,French Fries,side,159,1,71.51,https://images.unsplash.com/photo-1576107232684-1279f3908581?w=300&q=80
129,25,Chocolate Thickshake,drink,180,1,99.83,https://images.unsplash.com/photo-1572490122747-3968b75cc699?w=300&q=80
130,26,Dal Baati Churma,main,410,1,15.54,https://images.unsplash.com/photo-1544026229-2ceec1a86827?w=300&q=80
131,26,Laal Maas,main,500,0,67.91,https://images.unsplash.com/photo-1604908176997-125f25cc6f3d?w=300&q=80
132,26,Gatte Ki Sabzi,side,210,1,43.4,https://images.unsplash.com/photo-1589302168068-964664d93cb0?w=300&q=80
133,26,Jaljeera,drink,30,1,12.75,https://images.unsplash.com/photo-1622483767028-3f66f32aef97?w=300&q=80
134,27,Classic Cheese Burger,main,199,1,44.15,https://images.unsplash.com/photo-1568901346375-23c9450c58cd?w=300&q=80
135,27,Crispy Chicken Burger,main,169,0,24.05,https://images.unsplash.com/photo-1594212686125-9f5cefb6a827?w=300&q=80
136,27,Double Patty Overload,main,309,0,68.48,https://images.unsplash.com/photo-1586816001966-79b736744398?w=300&q=80
137,27,French Fries,side,139,1,66.47,https://images.unsplash.com/photo-1576107232684-1279f3908581?w=300&q=80
138,27,Chocolate Thickshake,drink,210,1,65.85,https://images.unsplash.com/photo-1572490122747-3968b75cc699?w=300&q=80
139,28,Quinoa Salad bowl,main,270,1,31.6,https://images.unsplash.com/photo-1512621776951-a57141f2eefd?w=300&q=80
140,28,Grilled Chicken Breast,main,359,0,12.33,https://images.unsplash.com/photo-1626082927389-6cd097cdc6ec?w=300&q=80
141,28,Avocado Toast,starter,239,1,40.59,https://images.unsplash.com/photo-1588137378633-dea1336ce1e2?w=300&q=80
142,28,Green Detox Juice,drink,149,1,46.22,https://images.unsplash.com/photo-1622483767028-3f66f32aef97?w=300&q=80
143,29,Chicken Dum Biryani,main,309,0,76.65,https://images.unsplash.com/photo-1563379091339-03b21ab4a4f8?w=300&q=80
144,29,Mutton Zafrani Biryani,main,399,0,27.49,https://images.unsplash.com/photo-1631515243349-e0cb75fb8d3a?w=300&q=80
145,29,Paneer Special Biryani,main,299,1,24.99,https://images.unsplash.com/photo-1505253758473-96b7015fcd40?w=300&q=80
146,29,Chicken Tikka Kebab,starter,190,0,53.8,https://images.unsplash.com/photo-1606491956689-2ea866880c84?w=300&q=80
147,29,Mirchi Ka Salan,side,110,1,24.59,https://images.unsplash.com/photo-1589302168068-964664d93cb0?w=300&q=80
148,29,Boondi Raita,side,105,1,59.9,https://images.unsplash.com/photo-1546833999-b9f581a1996d?w=300&q=80
149,29,Onion Cucumber Raita,side,70,1,70.29,https://images.unsplash.com/photo-1546833999-b9f581a1996d?w=300&q=80
150,29,Coke 330ml,drink,110,1,11.1,https://images.unsplash.com/photo-1622483767028-3f66f32aef97?w=300&q=80
151,29,Diet Coke Can,drink,125,1,99.72,https://images.unsplash.com/photo-1622483767028-3f66f32aef97?w=300&q=80
152,30,Hakka Noodles,main,219,1,21.65,https://images.unsplash.com/photo-1585032226651-759b368d7246?w=300&q=80
153,30,Chilli Chicken,starter,309,0,38.88,https://images.unsplash.com/photo-1525755662778-989d0524087e?w=300&q=80
154,30,Veg Manchurian,starter,239,1,87.7,https://images.unsplash.com/photo-1585937421612-70a008356fbe?w=300&q=80
155,30,Burnt Garlic Fried Rice,main,190,1,45.38,https://images.unsplash.com/photo-1512058564366-18510be2db19?w=300&q=80
156,31,Quinoa Salad bowl,main,230,1,16.44,https://images.unsplash.com/photo-1512621776951-a57141f2eefd?w=300&q=80
157,31,Grilled Chicken Breast,main,279,0,55.83,https://images.unsplash.com/photo-1626082927389-6cd097cdc6ec?w=300&q=80
158,31,Avocado Toast,starter,249,1,29.61,https://images.unsplash.com/photo-1588137378633-dea1336ce1e2?w=300&q=80
159,31,Green Detox Juice,drink,119,1,71.69,https://images.unsplash.com/photo-1622483767028-3f66f32aef97?w=300&q=80
160,32,Butter Chicken,main,370,0,42.13,https://images.unsplash.com/photo-1604908176997-125f25cc6f3d?w=300&q=80
161,32,Dal Makhani,main,300,1,73.78,https://images.unsplash.com/photo-1544026229-2ceec1a86827?w=300&q=80
162,32,Garlic Naan,side,50,1,39.13,https://images.unsplash.com/photo-1626082927389-6cd097cdc6ec?w=300&q=80
163,32,Paneer Tikka,starter,270,1,59.16,https://images.unsplash.com/photo-1567158780131-7e614bbd2109?w=300&q=80
164,32,Lassi,drink,60,1,45.01,https://images.unsplash.com/photo-1498654877395-865dcbf0802c?w=300&q=80
165,33,Masala Dosa,main,100,1,13.22,https://images.unsplash.com/photo-1589301760014-d929f39ce9b0?w=300&q=80
166,33,Idli Sambar,starter,130,1,22.61,https://images.unsplash.com/photo-1610192244261-3f3388cd26f3?w=300&q=80
167,33,Medu Vada,starter,60,1,61.35,https://images.unsplash.com/photo-1626804475297-4160fab1ccfa?w=300&q=80
168,33,Filter Coffee,drink,20,1,16.51,https://images.unsplash.com/photo-1521302200778-33500795e128?w=300&q=80
169,34,Butter Chicken,main,350,0,98.85,https://images.unsplash.com/photo-1604908176997-125f25cc6f3d?w=300&q=80
170,34,Dal Makhani,main,300,1,58.65,https://images.unsplash.com/photo-1544026229-2ceec1a86827?w=300&q=80
171,34,Garlic Naan,side,110,1,27.28,https://images.unsplash.com/photo-1626082927389-6cd097cdc6ec?w=300&q=80
172,34,Paneer Tikka,starter,180,1,80.13,https://images.unsplash.com/photo-1567158780131-7e614bbd2109?w=300&q=80
173,34,Lassi,drink,70,1,75.93,https://images.unsplash.com/photo-1498654877395-865dcbf0802c?w=300&q=80
174,35,Chicken Dum Biryani,main,299,0,20.92,https://images.unsplash.com/photo-1563379091339-03b21ab4a4f8?w=300&q=80
175,35,Mutton Zafrani Biryani,main,389,0,45.05,https://images.unsplash.com/photo-1631515243349-e0cb75fb8d3a?w=300&q=80
176,35,Paneer Special Biryani,main,219,1,29.48,https://images.unsplash.com/photo-1505253758473-96b7015fcd40?w=300&q=80
177,35,Chicken Tikka Kebab,starter,270,0,81.3,https://images.unsplash.com/photo-1606491956689-2ea866880c84?w=300&q=80
178,35,Mirchi Ka Salan,side,100,1,74.96,https://images.unsplash.com/photo-1589302168068-964664d93cb0?w=300&q=80
179,35,Boondi Raita,side,85,1,22.0,https://images.unsplash.com/photo-1546833999-b9f581a1996d?w=300&q=80
180,35,Onion Cucumber Raita,side,50,1,57.16,https://images.unsplash.com/photo-1546833999-b9f581a1996d?w=300&q=80
181,35,Coke 330ml,drink,70,1,62.97,https://images.unsplash.com/photo-1622483767028-3f66f32aef97?w=300&q=80
182,35,Diet Coke Can,drink,105,1,67.26,https://images.unsplash.com/photo-1622483767028-3f66f32aef97?w=300&q=80
183,36,Quinoa Salad bowl,main,260,1,47.23,https://images.unsplash.com/photo-1512621776951-a57141f2eefd?w=300&q=80
184,36,Grilled Chicken Breast,main,259,0,52.19,https://images.unsplash.com/photo-1626082927389-6cd097cdc6ec?w=300&q=80
185,36,Avocado Toast,starter,169,1,13.79,https://images.unsplash.com/photo-1588137378633-dea1336ce1e2?w=300&q=80
186,36,Green Detox Juice,drink,149,1,78.27,https://images.unsplash.com/photo-1622483767028-3f66f32aef97?w=300&q=80
187,37,Chicken Dum Biryani,main,339,0,32.25,https://images.unsplash.com/photo-1563379091339-03b21ab4a4f8?w=300&q=80
188,37,Mutton Zafrani Biryani,main,409,0,12.71,https://images.unsplash.com/photo-1631515243349-e0cb75fb8d3a?w=300&q=80
189,37,Paneer Special Biryani,main,269,1,82.54,https://images.unsplash.com/photo-1505253758473-96b7015fcd40?w=300&q=80
190,37,Chicken Tikka Kebab,starter,280,0,76.89,https://images.unsplash.com/photo-1606491956689-2ea866880c84?w=300&q=80
191,37,Mirchi Ka Salan,side,150,1,70.74,https://images.unsplash.com/photo-1589302168068-964664d93cb0?w=300&q=80
192,37,Boondi Raita,side,115,1,83.96,https://images.unsplash.com/photo-1546833999-b9f581a1996d?w=300&q=80
193,37,Onion Cucumber Raita,side,90,1,86.92,https://images.unsplash.com/photo-1546833999-b9f581a1996d?w=300&q=80
194,37,Coke 330ml,drink,100,1,96.34,https://images.unsplash.com/photo-1622483767028-3f66f32aef97?w=300&q=80
195,37,Diet Coke Can,drink,105,1,54.09,https://images.unsplash.com/photo-1622483767028-3f66f32aef97?w=300&q=80
196,38,Chicken Dum Biryani,main,259,0,77.46,https://images.unsplash.com/photo-1563379091339-03b21ab4a4f8?w=300&q=80
197,38,Mutton Zafrani Biryani,main,359,0,77.18,https://images.unsplash.com/photo-1631515243349-e0cb75fb8d3a?w=300&q=80
198,38,Paneer Special Biryani,main,269,1,28.45,https://images.unsplash.com/photo-1505253758473-96b7015fcd40?w=300&q=80
199,38,Chicken Tikka Kebab,starter,190,0,56.29,https://images.unsplash.com/photo-1606491956689-2ea866880c84?w=300&q=80
200,38,Mirchi Ka Salan,side,100,1,14.83,https://images.unsplash.com/photo-1589302168068-964664d93cb0?w=300&q=80
201,38,Boondi Raita,side,105,1,55.12,https://images.unsplash.com/photo-1546833999-b9f581a1996d?w=300&q=80
202,38,Onion Cucumber Raita,side,120,1,46.78,https://images.unsplash.com/photo-1546833999-b9f581a1996d?w=300&q=80
203,38,Coke 330ml,drink,60,1,77.3,https://images.unsplash.com/photo-1622483767028-3f66f32aef97?w=300&q=80
204,38,Diet Coke Can,drink,85,1,98.38,https://images.unsplash.com/photo-1622483767028-3f66f32aef97?w=300&q=80
205,39,Masala Dosa,main,140,1,97.98,https://images.unsplash.com/photo-1589301760014-d929f39ce9b0?w=300&q=80
206,39,Idli Sambar,starter,90,1,66.67,https://images.unsplash.com/photo-1610192244261-3f3388cd26f3?w=300&q=80
207,39,Medu Vada,starter,90,1,12.17,https://images.unsplash.com/photo-1626804475297-4160fab1ccfa?w=300&q=80
208,39,Filter Coffee,drink,20,1,28.66,https://images.unsplash.com/photo-1521302200778-33500795e128?w=300&q=80
209,40,Quinoa Salad bowl,main,220,1,21.08,https://images.unsplash.com/photo-1512621776951-a57141f2eefd?w=300&q=80
210,40,Grilled Chicken Breast,main,339,0,81.73,https://images.unsplash.com/photo-1626082927389-6cd097cdc6ec?w=300&q=80
211,40,Avocado Toast,starter,229,1,47.25,https://images.unsplash.com/photo-1588137378633-dea1336ce1e2?w=300&q=80
212,40,Green Detox Juice,drink,129,1,52.25,https://images.unsplash.com/photo-1622483767028-3f66f32aef97?w=300&q=80
213,41,Chicken Dum Biryani,main,309,0,84.66,https://images.unsplash.com/photo-1563379091339-03b21ab4a4f8?w=300&q=80
214,41,Mutton Zafrani Biryani,main,459,0,36.8,https://images.unsplash.com/photo-1631515243349-e0cb75fb8d3a?w=300&q=80
215,41,Paneer Special Biryani,main,239,1,80.37,https://images.unsplash.com/photo-1505253758473-96b7015fcd40?w=300&q=80
216,41,Chicken Tikka Kebab,starter,240,0,93.51,https://images.unsplash.com/photo-1606491956689-2ea866880c84?w=300&q=80
217,41,Mirchi Ka Salan,side,50,1,36.73,https://images.unsplash.com/photo-1589302168068-964664d93cb0?w=300&q=80
218,41,Boondi Raita,side,105,1,70.73,https://images.unsplash.com/photo-1546833999-b9f581a1996d?w=300&q=80
219,41,Onion Cucumber Raita,side,90,1,76.43,https://images.unsplash.com/photo-1546833999-b9f581a1996d?w=300&q=80
220,41,Coke 330ml,drink,20,1,47.17,https://images.unsplash.com/photo-1622483767028-3f66f32aef97?w=300&q=80
221,41,Diet Coke Can,drink,125,1,64.18,https://images.unsplash.com/photo-1622483767028-3f66f32aef97?w=300&q=80
222,42,Masala Dosa,main,120,1,98.85,https://images.unsplash.com/photo-1589301760014-d929f39ce9b0?w=300&q=80
223,42,Idli Sambar,starter,110,1,39.54,https://images.unsplash.com/photo-1610192244261-3f3388cd26f3?w=300&q=80
224,42,Medu Vada,starter,50,1,97.45,https://images.unsplash.com/photo-1626804475297-4160fab1ccfa?w=300&q=80
225,42,Filter Coffee,drink,50,1,76.31,https://images.unsplash.com/photo-1521302200778-33500795e128?w=300&q=80
226,43,Quinoa Salad bowl,main,270,1,98.53,https://images.unsplash.com/photo-1512621776951-a57141f2eefd?w=300&q=80
227,43,Grilled Chicken Breast,main,309,0,41.06,https://images.unsplash.com/photo-1626082927389-6cd097cdc6ec?w=300&q=80
